x,y
951,589
1637,538
1637,729
1828,729
2018,729
2018,538
1828,538
1828,348
2018,348
2209,348
2399,348
2399,538
2209,538
2209,729
2399,729
2399,919
2209,919
2209,1110
2399,1110
2780,1110
2971,1110
3161,1110
3352,1110
3542,1110
3542,919
3352,919
3161,919
2971,919
2780,919
2780,729
2971,729
2971,538
2780,538
2780,348
2971,348
3161,348
3352,348
3542,348
3542,538
3352,538
3352,729
3542,729
3161,729
3161,538
4050,538
4050,729
4241,729
4241,538
4431,538
4431,729
4622,729
4812,729
4812,538
4622,538
4622,348
4812,348
4431,348
4241,348
4050,348
4050,919
4241,919
4431,919
4622,919
4812,919
4812,1110
4622,1110
4431,1110
4241,1110
4050,1110
4177,1491
4368,1491
4368,1745
4368,1935
4009,1872
4009,2126
3987,2253
3834,2481
3606,2253
3584,2126
3592,1872
3606,1554
3987,1554
5130,1491
5320,1491
5511,1491
5511,1745
5511,1935
5130,1935
5130,1745
5193,1110
5384,1110
5574,1110
5765,1110
5955,1110
5955,919
5765,919
5574,919
5384,919
5384,729
5574,729
5765,729
5955,729
5955,538
5765,538
5574,538
5384,538
5384,348
5574,348
5765,348
5955,348
6463,348
6654,348
6844,348
7035,348
7225,348
7225,538
7035,538
7035,729
7225,729
7225,919
7035,919
6844,919
6654,919
6463,919
6463,729
6654,729
6844,729
6844,538
6654,538
6463,538
6463,1110
6654,1110
6844,1110
7035,1110
7225,1110
7606,1110
7797,1110
7987,1110
8178,1110
8368,1110
8368,919
8178,919
7987,919
7797,919
7606,919
7606,729
7797,729
7987,729
8178,729
8178,538
7987,538
7797,538
7606,538
7606,348
7797,348
7987,348
8178,348
8368,348
8368,538
8368,729
8876,729
9067,729
9257,729
9448,729
9448,538
9257,538
9067,538
8876,538
8876,348
9067,348
9257,348
9448,348
9638,348
9638,538
9638,729
9638,919
9448,919
9257,919
9067,919
8876,919
8876,1110
9067,1110
9257,1110
9448,1110
9638,1110
10019,1110
10210,1110
10400,1110
10591,1110
10781,1110
10781,919
10591,919
10400,919
10210,919
10019,919
10019,729
10210,729
10210,538
10019,538
10019,348
10210,348
10400,348
10591,348
10781,348
10781,538
10591,538
10591,729
10781,729
10400,729
10400,538
10337,1491
10146,1491
9956,1491
9956,1745
9956,1935
10337,1935
